realm_id,realm_name,region,connected_realm_id,game_version
121,"{'en_US': 'Azjol-Nerub', 'es_MX': 'Azjol-Nerub', 'pt_BR': 'Azjol-Nerub', 'de_DE': 'Azjol-Nerub', 'en_GB': 'Azjol-Nerub', 'es_ES': 'Azjol-Nerub', 'fr_FR': 'Azjol-Nerub', 'it_IT': 'Azjol-Nerub', 'ru_RU': 'Azjol-Nerub', 'ko_KR': 'Azjol-Nerub', 'zh_TW': '阿茲歐-奈幽', 'zh_CN': '蜘蛛王国'}",us,121,retail
1182,"{'en_US': 'Muradin', 'es_MX': 'Muradin', 'pt_BR': 'Muradin', 'de_DE': 'Muradin', 'en_GB': 'Muradin', 'es_ES': 'Muradin', 'fr_FR': 'Muradin', 'it_IT': 'Muradin', 'ru_RU': 'Мурадин', 'ko_KR': 'Muradin', 'zh_TW': '穆拉丁', 'zh_CN': '穆拉丁'}",us,121,retail
1359,"{'en_US': 'Nordrassil', 'es_MX': 'Nordrassil', 'pt_BR': 'Nordrassil', 'de_DE': 'Nordrassil', 'en_GB': 'Nordrassil', 'es_ES': 'Nordrassil', 'fr_FR': 'Nordrassil', 'it_IT': 'Nordrassil', 'ru_RU': 'Nordrassil', 'ko_KR': 'Nordrassil', 'zh_TW': '諾達希爾', 'zh_CN': '诺达希尔'}",us,121,retail
10,"{'en_US': 'Blackrock', 'es_MX': 'Blackrock', 'pt_BR': 'Blackrock', 'de_DE': 'Blackrock', 'en_GB': 'Blackrock', 'es_ES': 'Blackrock', 'fr_FR': 'Blackrock', 'it_IT': 'Blackrock', 'ru_RU': 'Blackrock', 'ko_KR': 'Blackrock', 'zh_TW': '黑石氏族', 'zh_CN': '黑石尖塔'}",us,121,retail
1143,"{'en_US': 'Khaz Modan', 'es_MX': 'Khaz Modan', 'pt_BR': 'Khaz Modan', 'de_DE': 'Khaz Modan', 'en_GB': 'Khaz Modan', 'es_ES': 'Khaz Modan', 'fr_FR': 'Khaz Modan', 'it_IT': 'Khaz Modan', 'ru_RU': 'Khaz Modan', 'ko_KR': 'Khaz Modan', 'zh_TW': '卡茲莫丹', 'zh_CN': '卡兹莫丹'}",us,121,retail
127,"{'en_US': 'Firetree', 'es_MX': 'Firetree', 'pt_BR': 'Firetree', 'de_DE': 'Firetree', 'en_GB': 'Firetree', 'es_ES': 'Firetree', 'fr_FR': 'Firetree', 'it_IT': 'Firetree', 'ru_RU': 'Firetree', 'ko_KR': 'Firetree', 'zh_TW': '火焰之樹', 'zh_CN': '火焰之树'}",us,127,retail
1362,"{'en_US': ""Drak'Tharon"", 'es_MX': ""Drak'Tharon"", 'pt_BR': ""Drak'Tharon"", 'de_DE': ""Drak'Tharon"", 'en_GB': ""Drak'Tharon"", 'es_ES': ""Drak'Tharon"", 'fr_FR': ""Drak'Tharon"", 'it_IT': ""Drak'Tharon"", 'ru_RU': ""Drak'Tharon"", 'ko_KR': ""Drak'Tharon"", 'zh_TW': '德拉克薩隆', 'zh_CN': '达克萨隆'}",us,127,retail
1358,"{'en_US': 'Rivendare', 'es_MX': 'Rivendare', 'pt_BR': 'Rivendare', 'de_DE': 'Rivendare', 'en_GB': 'Rivendare', 'es_ES': 'Rivendare', 'fr_FR': 'Rivendare', 'it_IT': 'Rivendare', 'ru_RU': 'Rivendare', 'ko_KR': 'Rivendare', 'zh_TW': '瑞文戴爾', 'zh_CN': '瑞文戴尔'}",us,127,retail
1348,"{'en_US': 'Vashj', 'es_MX': 'Vashj', 'pt_BR': 'Vashj', 'de_DE': 'Vashj', 'en_GB': 'Vashj', 'es_ES': 'Vashj', 'fr_FR': 'Vashj', 'it_IT': 'Vashj', 'ru_RU': 'Vashj', 'ko_KR': 'Vashj', 'zh_TW': '瓦許', 'zh_CN': '瓦丝琪'}",us,127,retail
124,"{'en_US': 'Spirestone', 'es_MX': 'Spirestone', 'pt_BR': 'Spirestone', 'de_DE': 'Spirestone', 'en_GB': 'Spirestone', 'es_ES': 'Spirestone', 'fr_FR': 'Spirestone', 'it_IT': 'Spirestone', 'ru_RU': 'Spirestone', 'ko_KR': 'Spirestone', 'zh_TW': '尖石', 'zh_CN': '岩石巨塔'}",us,127,retail
